osm_id,feat_type,key,value,commentary
4605974,way,name,Christopher Hansteens vei,most crossings have no name
69916186,way,name,Kurlandstien,most crossings have no name
120320831,way,name,Vinterveien,most crossings have no name
264635425,way,name,Karl Johans gate,most crossings have no name
264635428,way,name,Karl Johans gate,most crossings have no name
264635430,way,name,Karl Johans gate,most crossings have no name
264635432,way,name,Karl Johans gate,most crossings have no name
312668136,way,name,Blokkajordet,most crossings have no name
345711465,way,name,Grorudveien,most crossings have no name
345711466,way,name,Grorudveien,most crossings have no name
427966250,way,name,Elverumgata,most crossings have no name
440149406,way,name,St. Olavs plass,most crossings have no name
666375400,way,name,Karl Johans gate,most crossings have no name
666375435,way,name,Karl Johans gate,most crossings have no name
742655101,way,name,Sørlistien,most crossings have no name
995344351,way,name,Øvre Slottsgate,most crossings have no name
995344352,way,name,Øvre Slottsgate,most crossings have no name
1149892697,way,name,Karl Johans gate,most crossings have no name
1149892699,way,name,Karl Johans gate,most crossings have no name
1226756703,way,name,Halsbrekka,most crossings have no name
1226955155,way,name,Vækerøveien,most crossings have no name
1259513080,way,name,Låveveien,most crossings have no name
1473804668,way,name,Tour de Finance,most crossings have no name
1473804669,way,name,Tour de Finance,most crossings have no name
