osm_id,feat_type,key,value,commentary
4550075,way,surface,MISSING,Surface tag is recommended to assess accessibility
5037138,way,surface,MISSING,Surface tag is recommended to assess accessibility
12528213,way,surface,MISSING,Surface tag is recommended to assess accessibility
69916186,way,surface,MISSING,Surface tag is recommended to assess accessibility
80878455,way,surface,MISSING,Surface tag is recommended to assess accessibility
108162934,way,surface,MISSING,Surface tag is recommended to assess accessibility
109810731,way,surface,MISSING,Surface tag is recommended to assess accessibility
109810796,way,surface,MISSING,Surface tag is recommended to assess accessibility
109810798,way,surface,MISSING,Surface tag is recommended to assess accessibility
109810803,way,surface,MISSING,Surface tag is recommended to assess accessibility
109810827,way,surface,MISSING,Surface tag is recommended to assess accessibility
109816182,way,surface,MISSING,Surface tag is recommended to assess accessibility
109816187,way,surface,MISSING,Surface tag is recommended to assess accessibility
109816192,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827065,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827067,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827069,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827077,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827093,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827116,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827123,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827135,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827141,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827168,way,surface,MISSING,Surface tag is recommended to assess accessibility
118184357,way,surface,MISSING,Surface tag is recommended to assess accessibility
118213096,way,surface,MISSING,Surface tag is recommended to assess accessibility
118251643,way,surface,MISSING,Surface tag is recommended to assess accessibility
118251662,way,surface,MISSING,Surface tag is recommended to assess accessibility
118749681,way,surface,MISSING,Surface tag is recommended to assess accessibility
118749695,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881250,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881253,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881258,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881268,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881273,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881278,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881281,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881293,way,surface,MISSING,Surface tag is recommended to assess accessibility
120101947,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717365,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717371,way,surface,MISSING,Surface tag is recommended to assess accessibility
123209124,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456378,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456379,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456400,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456408,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456411,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456433,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456437,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456449,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456457,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456466,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456471,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456480,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456483,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456493,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456499,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456500,way,surface,MISSING,Surface tag is recommended to assess accessibility
128943029,way,surface,MISSING,Surface tag is recommended to assess accessibility
128943031,way,surface,MISSING,Surface tag is recommended to assess accessibility
128943034,way,surface,MISSING,Surface tag is recommended to assess accessibility
128943039,way,surface,MISSING,Surface tag is recommended to assess accessibility
128980472,way,surface,MISSING,Surface tag is recommended to assess accessibility
128980493,way,surface,MISSING,Surface tag is recommended to assess accessibility
129027676,way,surface,MISSING,Surface tag is recommended to assess accessibility
