osm_id,feat_type,key,value,commentary
3302533,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
4550075,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
4550290,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
4628327,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
4708753,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
4857198,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
8127585,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
24365397,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
43122899,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
48800451,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
62137787,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
63461446,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
69916186,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
79382434,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
85436049,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
102296661,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
104780436,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
108037356,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
108037357,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
108037367,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
108047305,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
108047307,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
108165758,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
108165768,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
108209942,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109810732,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
109810798,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816180,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
109816182,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816192,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816202,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816203,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816204,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816210,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816222,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109816231,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
109816232,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
109827093,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
111695468,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
111695471,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
111695479,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
111695481,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
111695482,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
111695486,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
113695719,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
114977140,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
116417358,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
116417359,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118250425,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118251643,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118255166,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118664747,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
118664753,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665542,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665543,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665545,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665546,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665548,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665550,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665551,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665555,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665556,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665558,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665559,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665561,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118665564,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118749681,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118749689,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118749695,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118749705,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881250,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881253,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881254,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881257,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881258,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881259,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881265,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
118881269,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881271,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
118881273,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881274,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
118881278,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881281,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881285,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881290,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
118881291,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
118881298,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
119968840,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
120059960,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
120059986,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
120082979,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
120082980,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
120082982,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
