osm_id,feat_type,key,value,commentary
124064670,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
128896803,way,crossing,controlled,"unlisted at accepted/known values, probably wrong/misspelled"
133895154,way,crossing,sidewalk,"unlisted at accepted/known values, probably wrong/misspelled"
335254656,way,crossing,footway,"unlisted at accepted/known values, probably wrong/misspelled"
347301772,way,traffic_calming,choker,"unlisted at accepted/known values, probably wrong/misspelled"
354118865,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
355525337,way,crossing,pedestrian_signals,"unlisted at accepted/known values, probably wrong/misspelled"
1226756704,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1226756705,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1231555317,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1231555318,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1231555322,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1231555323,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1231555324,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1231555325,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1286411327,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1338599955,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
