osm_id,feat_type,key,value,commentary
1329325750,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1401510215,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1642083315,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2302995734,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2304107914,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2304107917,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2441969016,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5248636568,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5629984722,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5630047075,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5630224601,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
8086161980,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
8706286661,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
8706287033,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9021410234,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9036510601,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9036517288,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9764450361,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
10774238797,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
11881180810,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711814540,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711814549,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711814563,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851442,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851444,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851446,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851450,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851452,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851480,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711851481,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711854267,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711854269,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858400,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858402,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858404,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858406,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858408,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858414,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858419,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711858426,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711860629,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711860632,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711860635,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711860638,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711860641,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711860643,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711990604,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711990607,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
711990609,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
807787571,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
864968257,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
864968301,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
864968303,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
864968304,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
864968305,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888474555,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888474556,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888474557,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888474558,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590179,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590180,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590181,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590194,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590200,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590201,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
888590202,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
939950232,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
939950233,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
939950234,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
939950235,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089827,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089828,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089829,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089830,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089831,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089832,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
941089833,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
976500220,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
976500221,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
976500222,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
979876407,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
979876408,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
979876423,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
984505132,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
984505133,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
984505134,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
995913369,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
995913370,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1057909456,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1090510265,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1232733533,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1243454363,way,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
