osm_id,feat_type,key,value,commentary
107958988,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
113067727,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
116409769,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
118185089,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
118185160,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
118881266,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
118881282,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
118881284,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
120083034,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
172522980,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870853,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870854,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870856,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870857,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870859,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870860,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870861,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870863,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870865,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870866,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870867,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870868,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870869,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870870,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870871,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870872,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870874,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870879,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870881,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870885,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870886,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
242870889,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
252085005,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
264635474,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
264635475,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
264635476,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
264635477,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866617,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866621,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866625,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866626,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866627,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866628,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866629,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866631,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866632,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866633,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866636,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866637,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866641,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866643,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866644,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866646,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866648,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
265866649,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171434,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171437,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171438,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171440,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171442,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171443,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266171444,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266176956,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266176957,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266176958,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
266176960,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
267226175,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
267226178,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
267226179,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
