osm_id,feat_type,key,value,commentary
1281,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
659536,node,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
659865,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
25339165,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
25525130,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
31307533,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
256096213,node,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
487371749,node,name,Sollerud gård,most kerbs have no name
1075461640,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
1334088023,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
1422621450,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1472592606,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1485390112,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1608323086,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1635824254,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1642083315,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
2302995734,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
2304107917,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
2497623111,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
2726958716,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
2734190010,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
2849106323,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
3605560667,node,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
3782417019,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
5236963282,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
5248636568,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
5629984722,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
5630047075,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
5630224601,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6127656338,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6127656339,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6128770485,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
6128770486,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
6129366084,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6425119308,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
8231637256,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
8431977220,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
8556633019,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
8769279439,node,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
9535901001,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
9764450361,node,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
12043686042,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586219,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586220,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586221,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586228,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586230,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586231,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12178586232,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12542599759,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
12758305383,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
13846775969,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
343722829,way,name,Etterstad Skole,most kerbs have no name
810225567,way,name,Jernrosene,most kerbs have no name
