osm_id,feat_type,key,value,commentary
659533,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
659536,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
31307533,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
256096213,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
487371749,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
565437182,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
618143137,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1075461640,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1269199103,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1334087977,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1334088023,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1600891729,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1600891731,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1608323086,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1635824254,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1708610735,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2305536268,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2319220990,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2497623111,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2702938862,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2717146553,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2726958701,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2726958706,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2726958811,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2726958857,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2727063017,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2727063029,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2727238305,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2729719846,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3241576094,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3241576122,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3405607921,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3405607959,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3412763884,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3414871690,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3421439900,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3421439905,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3481658737,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3713530204,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3713530380,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3713530384,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3713530395,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3713530414,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3782417019,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3849099700,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3904715840,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4383630099,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4383630102,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4383630108,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4719447406,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4871092675,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4966196367,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4966196368,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
5039385818,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
5231458802,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6115913526,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6127656338,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6127656339,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6128770485,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6128770486,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6129366084,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6188293960,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6341019925,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6425119308,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6433800562,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6659176307,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6770416411,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6875274283,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6875274284,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
