osm_id,feat_type,key,value,commentary
1281,node,button_operated,no,"it may be referring to the crossing, may be OK"
659865,node,button_operated,yes,"it may be referring to the crossing, may be OK"
25525130,node,button_operated,yes,"it may be referring to the crossing, may be OK"
1422621450,node,button_operated,yes,"it may be referring to the crossing, may be OK"
1485390112,node,button_operated,yes,"it may be referring to the crossing, may be OK"
2726958716,node,button_operated,yes,"it may be referring to the crossing, may be OK"
6128770485,node,button_operated,no,"it may be referring to the crossing, may be OK"
6128770486,node,button_operated,no,"it may be referring to the crossing, may be OK"
8296953191,node,button_operated,yes,"it may be referring to the crossing, may be OK"
13846775969,node,button_operated,yes,"it may be referring to the crossing, may be OK"
