osm_id,feat_type,key,value,commentary
26228778,way,ANY (check at feature link),https://www.nb.no/items/URN:NBN:no-nb_digibok_2010060803024?page=103,The '=' character is used ONLY in textual representation of tags to separate the key from the value
27222214,way,ANY (check at feature link),http://faktaark.statkart.no/SSRFakta/faktaarkfraobjektid?enhet=391862,The '=' character is used ONLY in textual representation of tags to separate the key from the value
42737200,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
47368723,way,ANY (check at feature link),"often piste:grooming=scooter, but not documented anywhere",The '=' character is used ONLY in textual representation of tags to separate the key from the value
65582884,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
89272410,way,ANY (check at feature link),might be piste.type=nordic - prepared with scooter,The '=' character is used ONLY in textual representation of tags to separate the key from the value
95684226,way,ANY (check at feature link),http://faktaark.statkart.no/SSRFakta/faktaarkfraobjektid?enhet=391862,The '=' character is used ONLY in textual representation of tags to separate the key from the value
101318475,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
101318491,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
101318496,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
110064706,way,ANY (check at feature link),Why bicycle=no?,The '=' character is used ONLY in textual representation of tags to separate the key from the value
113281394,way,ANY (check at feature link),https://youtu.be/abyfD-8lyk0?si=ae4vAkg1u9y9uI8P&t=183,The '=' character is used ONLY in textual representation of tags to separate the key from the value
116021434,way,ANY (check at feature link),check whether piste:type=nordic in winter,The '=' character is used ONLY in textual representation of tags to separate the key from the value
122069430,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
122192492,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
122595319,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
124915947,way,ANY (check at feature link),"might be abandoned track, tracktype=grade5",The '=' character is used ONLY in textual representation of tags to separate the key from the value
138961140,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
148388393,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
170000295,way,ANY (check at feature link),mtb:type=downhill,The '=' character is used ONLY in textual representation of tags to separate the key from the value
172844490,way,ANY (check at feature link),mtb:type=downhill,The '=' character is used ONLY in textual representation of tags to separate the key from the value
172844503,way,ANY (check at feature link),mtb:type=downhill,The '=' character is used ONLY in textual representation of tags to separate the key from the value
172993636,way,ANY (check at feature link),mtb:type=downhill,The '=' character is used ONLY in textual representation of tags to separate the key from the value
173229976,way,ANY (check at feature link),http://www.maridalensvenner.no/index.php?id=178092,The '=' character is used ONLY in textual representation of tags to separate the key from the value
255703542,way,ANY (check at feature link),http://www.vegvesen.no/_attachment/459784/binary/756667?fast_title=Gjennomf%C3%B8ringsplan.pdf,The '=' character is used ONLY in textual representation of tags to separate the key from the value
315347502,way,ANY (check at feature link),check whether piste:type=nordic in winter,The '=' character is used ONLY in textual representation of tags to separate the key from the value
