osm_id,feat_type,key,value,commentary
103847,node,surface,MISSING,Surface tag is recommended to assess accessibility
191721,node,surface,MISSING,Surface tag is recommended to assess accessibility
191744,node,surface,MISSING,Surface tag is recommended to assess accessibility
191845,node,surface,MISSING,Surface tag is recommended to assess accessibility
191862,node,surface,MISSING,Surface tag is recommended to assess accessibility
284000,node,surface,MISSING,Surface tag is recommended to assess accessibility
646835,node,surface,MISSING,Surface tag is recommended to assess accessibility
1098976,node,surface,MISSING,Surface tag is recommended to assess accessibility
12534279,node,surface,MISSING,Surface tag is recommended to assess accessibility
13822939,node,surface,MISSING,Surface tag is recommended to assess accessibility
13822959,node,surface,MISSING,Surface tag is recommended to assess accessibility
13822991,node,surface,MISSING,Surface tag is recommended to assess accessibility
13823539,node,surface,MISSING,Surface tag is recommended to assess accessibility
16258792,node,surface,MISSING,Surface tag is recommended to assess accessibility
16263631,node,surface,MISSING,Surface tag is recommended to assess accessibility
16263638,node,surface,MISSING,Surface tag is recommended to assess accessibility
21287644,node,surface,MISSING,Surface tag is recommended to assess accessibility
24950654,node,surface,MISSING,Surface tag is recommended to assess accessibility
25656840,node,surface,MISSING,Surface tag is recommended to assess accessibility
25781746,node,surface,MISSING,Surface tag is recommended to assess accessibility
25782408,node,surface,MISSING,Surface tag is recommended to assess accessibility
26130041,node,surface,MISSING,Surface tag is recommended to assess accessibility
26130745,node,surface,MISSING,Surface tag is recommended to assess accessibility
26131514,node,surface,MISSING,Surface tag is recommended to assess accessibility
26459986,node,surface,MISSING,Surface tag is recommended to assess accessibility
26459992,node,surface,MISSING,Surface tag is recommended to assess accessibility
27356638,node,surface,MISSING,Surface tag is recommended to assess accessibility
28389144,node,surface,MISSING,Surface tag is recommended to assess accessibility
28830610,node,surface,MISSING,Surface tag is recommended to assess accessibility
32700833,node,surface,MISSING,Surface tag is recommended to assess accessibility
33065878,node,surface,MISSING,Surface tag is recommended to assess accessibility
33245585,node,surface,MISSING,Surface tag is recommended to assess accessibility
33248158,node,surface,MISSING,Surface tag is recommended to assess accessibility
33324898,node,surface,MISSING,Surface tag is recommended to assess accessibility
33335790,node,surface,MISSING,Surface tag is recommended to assess accessibility
33589119,node,surface,MISSING,Surface tag is recommended to assess accessibility
33721411,node,surface,MISSING,Surface tag is recommended to assess accessibility
34515198,node,surface,MISSING,Surface tag is recommended to assess accessibility
34693407,node,surface,MISSING,Surface tag is recommended to assess accessibility
35340485,node,surface,MISSING,Surface tag is recommended to assess accessibility
35342570,node,surface,MISSING,Surface tag is recommended to assess accessibility
35345170,node,surface,MISSING,Surface tag is recommended to assess accessibility
