osm_id,feat_type,key,value,commentary
1792425,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
1792519,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3556809,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
4546219,relation,last_update,12-5-2020,Feature has not been updated in 5 years or more
5325526,relation,last_update,8-10-2020,Feature has not been updated in 5 years or more
5325527,relation,last_update,6-6-2017,Feature has not been updated in 5 years or more
5325529,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
6744340,relation,last_update,5-7-2018,Feature has not been updated in 5 years or more
7009791,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
7382507,relation,last_update,8-5-2020,Feature has not been updated in 5 years or more
7478698,relation,last_update,3-5-2008,Feature has not been updated in 5 years or more
7478699,relation,last_update,27-7-2020,Feature has not been updated in 5 years or more
7785627,relation,last_update,22-9-2007,Feature has not been updated in 5 years or more
7820408,relation,last_update,29-1-2013,Feature has not been updated in 5 years or more
8337172,relation,last_update,25-11-2007,Feature has not been updated in 5 years or more
8557269,relation,last_update,12-7-2008,Feature has not been updated in 5 years or more
8592683,relation,last_update,26-12-2020,Feature has not been updated in 5 years or more
8592684,relation,last_update,26-5-2012,Feature has not been updated in 5 years or more
11558724,relation,last_update,25-1-2011,Feature has not been updated in 5 years or more
11750131,relation,last_update,2-2-2010,Feature has not been updated in 5 years or more
11883552,relation,last_update,11-11-2007,Feature has not been updated in 5 years or more
12003722,relation,last_update,23-6-2021,Feature has not been updated in 5 years or more
12646930,relation,last_update,24-1-2009,Feature has not been updated in 5 years or more
12683397,relation,last_update,12-11-2012,Feature has not been updated in 5 years or more
12773689,relation,last_update,28-1-2013,Feature has not been updated in 5 years or more
12792883,relation,last_update,23-2-2021,Feature has not been updated in 5 years or more
12800718,relation,last_update,1-5-2019,Feature has not been updated in 5 years or more
12806921,relation,last_update,28-1-2013,Feature has not been updated in 5 years or more
14164606,relation,last_update,13-3-2019,Feature has not been updated in 5 years or more
