osm_id,feat_type,key,value,commentary
12806921,relation,surface,chipseal,"unlisted at accepted/known values, probably wrong/misspelled"
3692710,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
3926541,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
3932379,way,surface,chipseal,"unlisted at accepted/known values, probably wrong/misspelled"
4259699,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4280134,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4280135,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4328076,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4328077,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4328899,way,surface,metal_grid,"unlisted at accepted/known values, probably wrong/misspelled"
4328901,way,surface,metal_grid,"unlisted at accepted/known values, probably wrong/misspelled"
4352051,way,surface,stone,"unlisted at accepted/known values, probably wrong/misspelled"
4550337,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552545,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552546,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552547,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552548,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552549,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552550,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552552,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4552554,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4645936,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4709688,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4709691,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4709692,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4722291,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
4978185,way,surface,bark,"unlisted at accepted/known values, probably wrong/misspelled"
4983070,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5094335,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5094577,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5121775,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5153622,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5154261,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5169249,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
5925184,way,surface,woodchips,"unlisted at accepted/known values, probably wrong/misspelled"
8101528,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
10359851,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
10370779,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
22588155,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
