osm_id,feat_type,key,value,commentary
14165721,relation,not appliable,not appliable,Sidewalks are meant to be lines
14169272,relation,not appliable,not appliable,Sidewalks are meant to be lines
949171985,node,not appliable,not appliable,Sidewalks are meant to be lines
949865939,node,not appliable,not appliable,Sidewalks are meant to be lines
949865940,node,not appliable,not appliable,Sidewalks are meant to be lines
949865945,node,not appliable,not appliable,Sidewalks are meant to be lines
950092207,node,not appliable,not appliable,Sidewalks are meant to be lines
950163162,node,not appliable,not appliable,Sidewalks are meant to be lines
950163163,node,not appliable,not appliable,Sidewalks are meant to be lines
969644821,node,not appliable,not appliable,Sidewalks are meant to be lines
969644822,node,not appliable,not appliable,Sidewalks are meant to be lines
969644823,node,not appliable,not appliable,Sidewalks are meant to be lines
969644824,node,not appliable,not appliable,Sidewalks are meant to be lines
971954104,node,not appliable,not appliable,Sidewalks are meant to be lines
976774127,node,not appliable,not appliable,Sidewalks are meant to be lines
1061770446,node,not appliable,not appliable,Sidewalks are meant to be lines
1061770447,node,not appliable,not appliable,Sidewalks are meant to be lines
1061770448,node,not appliable,not appliable,Sidewalks are meant to be lines
1061773563,node,not appliable,not appliable,Sidewalks are meant to be lines
1061773565,node,not appliable,not appliable,Sidewalks are meant to be lines
1061775709,node,not appliable,not appliable,Sidewalks are meant to be lines
1061779745,node,not appliable,not appliable,Sidewalks are meant to be lines
1061779747,node,not appliable,not appliable,Sidewalks are meant to be lines
1062011067,node,not appliable,not appliable,Sidewalks are meant to be lines
1062165579,node,not appliable,not appliable,Sidewalks are meant to be lines
1062188668,node,not appliable,not appliable,Sidewalks are meant to be lines
1062304490,node,not appliable,not appliable,Sidewalks are meant to be lines
1062352495,node,not appliable,not appliable,Sidewalks are meant to be lines
1062352496,node,not appliable,not appliable,Sidewalks are meant to be lines
1062352497,node,not appliable,not appliable,Sidewalks are meant to be lines
1062360195,node,not appliable,not appliable,Sidewalks are meant to be lines
1062360200,node,not appliable,not appliable,Sidewalks are meant to be lines
1062365617,node,not appliable,not appliable,Sidewalks are meant to be lines
1062365620,node,not appliable,not appliable,Sidewalks are meant to be lines
1062636145,node,not appliable,not appliable,Sidewalks are meant to be lines
1062638224,node,not appliable,not appliable,Sidewalks are meant to be lines
1149892690,node,not appliable,not appliable,Sidewalks are meant to be lines
1149892695,node,not appliable,not appliable,Sidewalks are meant to be lines
1149899085,node,not appliable,not appliable,Sidewalks are meant to be lines
1149900071,node,not appliable,not appliable,Sidewalks are meant to be lines
1149908248,node,not appliable,not appliable,Sidewalks are meant to be lines
1149908251,node,not appliable,not appliable,Sidewalks are meant to be lines
1149918342,node,not appliable,not appliable,Sidewalks are meant to be lines
1149918349,node,not appliable,not appliable,Sidewalks are meant to be lines
1149918352,node,not appliable,not appliable,Sidewalks are meant to be lines
1149925873,node,not appliable,not appliable,Sidewalks are meant to be lines
1149948881,node,not appliable,not appliable,Sidewalks are meant to be lines
1149948882,node,not appliable,not appliable,Sidewalks are meant to be lines
1149948883,node,not appliable,not appliable,Sidewalks are meant to be lines
1149948884,node,not appliable,not appliable,Sidewalks are meant to be lines
1149948885,node,not appliable,not appliable,Sidewalks are meant to be lines
1149948887,node,not appliable,not appliable,Sidewalks are meant to be lines
1150009047,node,not appliable,not appliable,Sidewalks are meant to be lines
1150161338,node,not appliable,not appliable,Sidewalks are meant to be lines
1150161345,node,not appliable,not appliable,Sidewalks are meant to be lines
1150195636,node,not appliable,not appliable,Sidewalks are meant to be lines
1150195637,node,not appliable,not appliable,Sidewalks are meant to be lines
