osm_id,feat_type,key,value,commentary
14165721,relation,surface,MISSING,Surface tag is recommended to assess accessibility
6005230,way,surface,MISSING,Surface tag is recommended to assess accessibility
12528363,way,surface,MISSING,Surface tag is recommended to assess accessibility
74060505,way,surface,MISSING,Surface tag is recommended to assess accessibility
74060512,way,surface,MISSING,Surface tag is recommended to assess accessibility
80180479,way,surface,MISSING,Surface tag is recommended to assess accessibility
80871218,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827090,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827106,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827119,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827126,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827131,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827150,way,surface,MISSING,Surface tag is recommended to assess accessibility
109827166,way,surface,MISSING,Surface tag is recommended to assess accessibility
116417357,way,surface,MISSING,Surface tag is recommended to assess accessibility
118184317,way,surface,MISSING,Surface tag is recommended to assess accessibility
118219071,way,surface,MISSING,Surface tag is recommended to assess accessibility
118250412,way,surface,MISSING,Surface tag is recommended to assess accessibility
118250426,way,surface,MISSING,Surface tag is recommended to assess accessibility
118250428,way,surface,MISSING,Surface tag is recommended to assess accessibility
118251666,way,surface,MISSING,Surface tag is recommended to assess accessibility
118255155,way,surface,MISSING,Surface tag is recommended to assess accessibility
118255168,way,surface,MISSING,Surface tag is recommended to assess accessibility
118255175,way,surface,MISSING,Surface tag is recommended to assess accessibility
118346908,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881263,way,surface,MISSING,Surface tag is recommended to assess accessibility
118881289,way,surface,MISSING,Surface tag is recommended to assess accessibility
119074818,way,surface,MISSING,Surface tag is recommended to assess accessibility
119138777,way,surface,MISSING,Surface tag is recommended to assess accessibility
119370047,way,surface,MISSING,Surface tag is recommended to assess accessibility
119370048,way,surface,MISSING,Surface tag is recommended to assess accessibility
119385190,way,surface,MISSING,Surface tag is recommended to assess accessibility
119385195,way,surface,MISSING,Surface tag is recommended to assess accessibility
120101875,way,surface,MISSING,Surface tag is recommended to assess accessibility
120101922,way,surface,MISSING,Surface tag is recommended to assess accessibility
120248266,way,surface,MISSING,Surface tag is recommended to assess accessibility
120248434,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717362,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717364,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717369,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717370,way,surface,MISSING,Surface tag is recommended to assess accessibility
121717372,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456417,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456488,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456502,way,surface,MISSING,Surface tag is recommended to assess accessibility
124456511,way,surface,MISSING,Surface tag is recommended to assess accessibility
124901449,way,surface,MISSING,Surface tag is recommended to assess accessibility
129999089,way,surface,MISSING,Surface tag is recommended to assess accessibility
129999090,way,surface,MISSING,Surface tag is recommended to assess accessibility
130861631,way,surface,MISSING,Surface tag is recommended to assess accessibility
130876781,way,surface,MISSING,Surface tag is recommended to assess accessibility
130909350,way,surface,MISSING,Surface tag is recommended to assess accessibility
130909542,way,surface,MISSING,Surface tag is recommended to assess accessibility
131550434,way,surface,MISSING,Surface tag is recommended to assess accessibility
137465274,way,surface,MISSING,Surface tag is recommended to assess accessibility
137465279,way,surface,MISSING,Surface tag is recommended to assess accessibility
137465281,way,surface,MISSING,Surface tag is recommended to assess accessibility
154201606,way,surface,MISSING,Surface tag is recommended to assess accessibility
155731924,way,surface,MISSING,Surface tag is recommended to assess accessibility
163719187,way,surface,MISSING,Surface tag is recommended to assess accessibility
170773892,way,surface,MISSING,Surface tag is recommended to assess accessibility
177180573,way,surface,MISSING,Surface tag is recommended to assess accessibility
178026537,way,surface,MISSING,Surface tag is recommended to assess accessibility
178026545,way,surface,MISSING,Surface tag is recommended to assess accessibility
178026548,way,surface,MISSING,Surface tag is recommended to assess accessibility
178078923,way,surface,MISSING,Surface tag is recommended to assess accessibility
178078934,way,surface,MISSING,Surface tag is recommended to assess accessibility
178568765,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739027,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739032,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739034,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739035,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739039,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739041,way,surface,MISSING,Surface tag is recommended to assess accessibility
178739049,way,surface,MISSING,Surface tag is recommended to assess accessibility
183668798,way,surface,MISSING,Surface tag is recommended to assess accessibility
183668799,way,surface,MISSING,Surface tag is recommended to assess accessibility
183668800,way,surface,MISSING,Surface tag is recommended to assess accessibility
183668807,way,surface,MISSING,Surface tag is recommended to assess accessibility
184613657,way,surface,MISSING,Surface tag is recommended to assess accessibility
184613660,way,surface,MISSING,Surface tag is recommended to assess accessibility
184613661,way,surface,MISSING,Surface tag is recommended to assess accessibility
184613663,way,surface,MISSING,Surface tag is recommended to assess accessibility
184613665,way,surface,MISSING,Surface tag is recommended to assess accessibility
184619872,way,surface,MISSING,Surface tag is recommended to assess accessibility
188051420,way,surface,MISSING,Surface tag is recommended to assess accessibility
189529761,way,surface,MISSING,Surface tag is recommended to assess accessibility
220097564,way,surface,MISSING,Surface tag is recommended to assess accessibility
221130730,way,surface,MISSING,Surface tag is recommended to assess accessibility
224983452,way,surface,MISSING,Surface tag is recommended to assess accessibility
224983455,way,surface,MISSING,Surface tag is recommended to assess accessibility
224983458,way,surface,MISSING,Surface tag is recommended to assess accessibility
224983459,way,surface,MISSING,Surface tag is recommended to assess accessibility
224983469,way,surface,MISSING,Surface tag is recommended to assess accessibility
228288275,way,surface,MISSING,Surface tag is recommended to assess accessibility
228288280,way,surface,MISSING,Surface tag is recommended to assess accessibility
228303944,way,surface,MISSING,Surface tag is recommended to assess accessibility
228884965,way,surface,MISSING,Surface tag is recommended to assess accessibility
237750182,way,surface,MISSING,Surface tag is recommended to assess accessibility
238862031,way,surface,MISSING,Surface tag is recommended to assess accessibility
238862043,way,surface,MISSING,Surface tag is recommended to assess accessibility
238862060,way,surface,MISSING,Surface tag is recommended to assess accessibility
253029430,way,surface,MISSING,Surface tag is recommended to assess accessibility
253029441,way,surface,MISSING,Surface tag is recommended to assess accessibility
253029462,way,surface,MISSING,Surface tag is recommended to assess accessibility
254701922,way,surface,MISSING,Surface tag is recommended to assess accessibility
254701961,way,surface,MISSING,Surface tag is recommended to assess accessibility
258545374,way,surface,MISSING,Surface tag is recommended to assess accessibility
258545388,way,surface,MISSING,Surface tag is recommended to assess accessibility
307616713,way,surface,MISSING,Surface tag is recommended to assess accessibility
311012218,way,surface,MISSING,Surface tag is recommended to assess accessibility
311012233,way,surface,MISSING,Surface tag is recommended to assess accessibility
311296985,way,surface,MISSING,Surface tag is recommended to assess accessibility
311296990,way,surface,MISSING,Surface tag is recommended to assess accessibility
311296993,way,surface,MISSING,Surface tag is recommended to assess accessibility
311296996,way,surface,MISSING,Surface tag is recommended to assess accessibility
311296998,way,surface,MISSING,Surface tag is recommended to assess accessibility
311297025,way,surface,MISSING,Surface tag is recommended to assess accessibility
311297026,way,surface,MISSING,Surface tag is recommended to assess accessibility
312668093,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996816,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996854,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996860,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996861,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996862,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996866,way,surface,MISSING,Surface tag is recommended to assess accessibility
312996868,way,surface,MISSING,Surface tag is recommended to assess accessibility
313133625,way,surface,MISSING,Surface tag is recommended to assess accessibility
313307774,way,surface,MISSING,Surface tag is recommended to assess accessibility
313307782,way,surface,MISSING,Surface tag is recommended to assess accessibility
313307794,way,surface,MISSING,Surface tag is recommended to assess accessibility
313307797,way,surface,MISSING,Surface tag is recommended to assess accessibility
313307804,way,surface,MISSING,Surface tag is recommended to assess accessibility
313453874,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726927,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726929,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726933,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726934,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726944,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726964,way,surface,MISSING,Surface tag is recommended to assess accessibility
313726969,way,surface,MISSING,Surface tag is recommended to assess accessibility
314149352,way,surface,MISSING,Surface tag is recommended to assess accessibility
315369950,way,surface,MISSING,Surface tag is recommended to assess accessibility
317701809,way,surface,MISSING,Surface tag is recommended to assess accessibility
318995456,way,surface,MISSING,Surface tag is recommended to assess accessibility
318995457,way,surface,MISSING,Surface tag is recommended to assess accessibility
318995459,way,surface,MISSING,Surface tag is recommended to assess accessibility
320091864,way,surface,MISSING,Surface tag is recommended to assess accessibility
320091867,way,surface,MISSING,Surface tag is recommended to assess accessibility
320091880,way,surface,MISSING,Surface tag is recommended to assess accessibility
320512860,way,surface,MISSING,Surface tag is recommended to assess accessibility
320512881,way,surface,MISSING,Surface tag is recommended to assess accessibility
320796803,way,surface,MISSING,Surface tag is recommended to assess accessibility
331994220,way,surface,MISSING,Surface tag is recommended to assess accessibility
331994230,way,surface,MISSING,Surface tag is recommended to assess accessibility
333480898,way,surface,MISSING,Surface tag is recommended to assess accessibility
335805339,way,surface,MISSING,Surface tag is recommended to assess accessibility
335805356,way,surface,MISSING,Surface tag is recommended to assess accessibility
335805401,way,surface,MISSING,Surface tag is recommended to assess accessibility
335805406,way,surface,MISSING,Surface tag is recommended to assess accessibility
335811921,way,surface,MISSING,Surface tag is recommended to assess accessibility
335811925,way,surface,MISSING,Surface tag is recommended to assess accessibility
335811927,way,surface,MISSING,Surface tag is recommended to assess accessibility
339796608,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911287,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911288,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911291,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911292,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911293,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911297,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911302,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911324,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911325,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911327,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911331,way,surface,MISSING,Surface tag is recommended to assess accessibility
339911332,way,surface,MISSING,Surface tag is recommended to assess accessibility
340000701,way,surface,MISSING,Surface tag is recommended to assess accessibility
340000707,way,surface,MISSING,Surface tag is recommended to assess accessibility
340000712,way,surface,MISSING,Surface tag is recommended to assess accessibility
340000714,way,surface,MISSING,Surface tag is recommended to assess accessibility
340180957,way,surface,MISSING,Surface tag is recommended to assess accessibility
340457250,way,surface,MISSING,Surface tag is recommended to assess accessibility
340457262,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970979,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970980,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970981,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970983,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970994,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970997,way,surface,MISSING,Surface tag is recommended to assess accessibility
340970999,way,surface,MISSING,Surface tag is recommended to assess accessibility
344100390,way,surface,MISSING,Surface tag is recommended to assess accessibility
344282875,way,surface,MISSING,Surface tag is recommended to assess accessibility
344344149,way,surface,MISSING,Surface tag is recommended to assess accessibility
344590975,way,surface,MISSING,Surface tag is recommended to assess accessibility
344590976,way,surface,MISSING,Surface tag is recommended to assess accessibility
344590981,way,surface,MISSING,Surface tag is recommended to assess accessibility
344590982,way,surface,MISSING,Surface tag is recommended to assess accessibility
344590988,way,surface,MISSING,Surface tag is recommended to assess accessibility
344591003,way,surface,MISSING,Surface tag is recommended to assess accessibility
344591037,way,surface,MISSING,Surface tag is recommended to assess accessibility
344753209,way,surface,MISSING,Surface tag is recommended to assess accessibility
344753239,way,surface,MISSING,Surface tag is recommended to assess accessibility
344753251,way,surface,MISSING,Surface tag is recommended to assess accessibility
344889184,way,surface,MISSING,Surface tag is recommended to assess accessibility
344889186,way,surface,MISSING,Surface tag is recommended to assess accessibility
344889210,way,surface,MISSING,Surface tag is recommended to assess accessibility
344889212,way,surface,MISSING,Surface tag is recommended to assess accessibility
344889229,way,surface,MISSING,Surface tag is recommended to assess accessibility
344889231,way,surface,MISSING,Surface tag is recommended to assess accessibility
345711494,way,surface,MISSING,Surface tag is recommended to assess accessibility
345711497,way,surface,MISSING,Surface tag is recommended to assess accessibility
345711504,way,surface,MISSING,Surface tag is recommended to assess accessibility
347943832,way,surface,MISSING,Surface tag is recommended to assess accessibility
347943836,way,surface,MISSING,Surface tag is recommended to assess accessibility
347943843,way,surface,MISSING,Surface tag is recommended to assess accessibility
347943852,way,surface,MISSING,Surface tag is recommended to assess accessibility
347971483,way,surface,MISSING,Surface tag is recommended to assess accessibility
347971484,way,surface,MISSING,Surface tag is recommended to assess accessibility
347971495,way,surface,MISSING,Surface tag is recommended to assess accessibility
347971498,way,surface,MISSING,Surface tag is recommended to assess accessibility
347989959,way,surface,MISSING,Surface tag is recommended to assess accessibility
347989965,way,surface,MISSING,Surface tag is recommended to assess accessibility
347989966,way,surface,MISSING,Surface tag is recommended to assess accessibility
347989969,way,surface,MISSING,Surface tag is recommended to assess accessibility
348761396,way,surface,MISSING,Surface tag is recommended to assess accessibility
348774331,way,surface,MISSING,Surface tag is recommended to assess accessibility
348774337,way,surface,MISSING,Surface tag is recommended to assess accessibility
349267993,way,surface,MISSING,Surface tag is recommended to assess accessibility
349267999,way,surface,MISSING,Surface tag is recommended to assess accessibility
351937475,way,surface,MISSING,Surface tag is recommended to assess accessibility
352864133,way,surface,MISSING,Surface tag is recommended to assess accessibility
352864141,way,surface,MISSING,Surface tag is recommended to assess accessibility
352869796,way,surface,MISSING,Surface tag is recommended to assess accessibility
352869800,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118860,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118861,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118862,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118870,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118871,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118874,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118880,way,surface,MISSING,Surface tag is recommended to assess accessibility
354118882,way,surface,MISSING,Surface tag is recommended to assess accessibility
355287153,way,surface,MISSING,Surface tag is recommended to assess accessibility
355287161,way,surface,MISSING,Surface tag is recommended to assess accessibility
355287162,way,surface,MISSING,Surface tag is recommended to assess accessibility
355295063,way,surface,MISSING,Surface tag is recommended to assess accessibility
355295075,way,surface,MISSING,Surface tag is recommended to assess accessibility
355295077,way,surface,MISSING,Surface tag is recommended to assess accessibility
355525279,way,surface,MISSING,Surface tag is recommended to assess accessibility
355525291,way,surface,MISSING,Surface tag is recommended to assess accessibility
355525389,way,surface,MISSING,Surface tag is recommended to assess accessibility
357236542,way,surface,MISSING,Surface tag is recommended to assess accessibility
357236543,way,surface,MISSING,Surface tag is recommended to assess accessibility
357494833,way,surface,MISSING,Surface tag is recommended to assess accessibility
357494836,way,surface,MISSING,Surface tag is recommended to assess accessibility
357494855,way,surface,MISSING,Surface tag is recommended to assess accessibility
357494859,way,surface,MISSING,Surface tag is recommended to assess accessibility
357494860,way,surface,MISSING,Surface tag is recommended to assess accessibility
357501470,way,surface,MISSING,Surface tag is recommended to assess accessibility
357530239,way,surface,MISSING,Surface tag is recommended to assess accessibility
357538884,way,surface,MISSING,Surface tag is recommended to assess accessibility
357544457,way,surface,MISSING,Surface tag is recommended to assess accessibility
357544458,way,surface,MISSING,Surface tag is recommended to assess accessibility
357544459,way,surface,MISSING,Surface tag is recommended to assess accessibility
357544463,way,surface,MISSING,Surface tag is recommended to assess accessibility
357544464,way,surface,MISSING,Surface tag is recommended to assess accessibility
357544465,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805461,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805462,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805463,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805464,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805465,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805466,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805467,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805476,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805477,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805478,way,surface,MISSING,Surface tag is recommended to assess accessibility
357805479,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399686,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399691,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399692,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399703,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399707,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399711,way,surface,MISSING,Surface tag is recommended to assess accessibility
358399713,way,surface,MISSING,Surface tag is recommended to assess accessibility
359593135,way,surface,MISSING,Surface tag is recommended to assess accessibility
363002055,way,surface,MISSING,Surface tag is recommended to assess accessibility
363382145,way,surface,MISSING,Surface tag is recommended to assess accessibility
363382150,way,surface,MISSING,Surface tag is recommended to assess accessibility
372863163,way,surface,MISSING,Surface tag is recommended to assess accessibility
372873301,way,surface,MISSING,Surface tag is recommended to assess accessibility
372873303,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966230,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966232,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966234,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966235,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966236,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966249,way,surface,MISSING,Surface tag is recommended to assess accessibility
372966255,way,surface,MISSING,Surface tag is recommended to assess accessibility
373071628,way,surface,MISSING,Surface tag is recommended to assess accessibility
373071643,way,surface,MISSING,Surface tag is recommended to assess accessibility
373704109,way,surface,MISSING,Surface tag is recommended to assess accessibility
373704142,way,surface,MISSING,Surface tag is recommended to assess accessibility
374352118,way,surface,MISSING,Surface tag is recommended to assess accessibility
374980730,way,surface,MISSING,Surface tag is recommended to assess accessibility
374980735,way,surface,MISSING,Surface tag is recommended to assess accessibility
374980738,way,surface,MISSING,Surface tag is recommended to assess accessibility
374980739,way,surface,MISSING,Surface tag is recommended to assess accessibility
374980740,way,surface,MISSING,Surface tag is recommended to assess accessibility
377625788,way,surface,MISSING,Surface tag is recommended to assess accessibility
377851451,way,surface,MISSING,Surface tag is recommended to assess accessibility
377886147,way,surface,MISSING,Surface tag is recommended to assess accessibility
413992792,way,surface,MISSING,Surface tag is recommended to assess accessibility
413992794,way,surface,MISSING,Surface tag is recommended to assess accessibility
413992796,way,surface,MISSING,Surface tag is recommended to assess accessibility
416784727,way,surface,MISSING,Surface tag is recommended to assess accessibility
416784746,way,surface,MISSING,Surface tag is recommended to assess accessibility
435542084,way,surface,MISSING,Surface tag is recommended to assess accessibility
437536717,way,surface,MISSING,Surface tag is recommended to assess accessibility
437536719,way,surface,MISSING,Surface tag is recommended to assess accessibility
438247203,way,surface,MISSING,Surface tag is recommended to assess accessibility
438249937,way,surface,MISSING,Surface tag is recommended to assess accessibility
438259653,way,surface,MISSING,Surface tag is recommended to assess accessibility
438432113,way,surface,MISSING,Surface tag is recommended to assess accessibility
438432126,way,surface,MISSING,Surface tag is recommended to assess accessibility
438432134,way,surface,MISSING,Surface tag is recommended to assess accessibility
439364866,way,surface,MISSING,Surface tag is recommended to assess accessibility
439392383,way,surface,MISSING,Surface tag is recommended to assess accessibility
439392390,way,surface,MISSING,Surface tag is recommended to assess accessibility
439392391,way,surface,MISSING,Surface tag is recommended to assess accessibility
440661664,way,surface,MISSING,Surface tag is recommended to assess accessibility
440662195,way,surface,MISSING,Surface tag is recommended to assess accessibility
440843096,way,surface,MISSING,Surface tag is recommended to assess accessibility
453683981,way,surface,MISSING,Surface tag is recommended to assess accessibility
472340763,way,surface,MISSING,Surface tag is recommended to assess accessibility
495339718,way,surface,MISSING,Surface tag is recommended to assess accessibility
495339723,way,surface,MISSING,Surface tag is recommended to assess accessibility
495507003,way,surface,MISSING,Surface tag is recommended to assess accessibility
495805146,way,surface,MISSING,Surface tag is recommended to assess accessibility
495805147,way,surface,MISSING,Surface tag is recommended to assess accessibility
495805148,way,surface,MISSING,Surface tag is recommended to assess accessibility
495805149,way,surface,MISSING,Surface tag is recommended to assess accessibility
495826134,way,surface,MISSING,Surface tag is recommended to assess accessibility
495826140,way,surface,MISSING,Surface tag is recommended to assess accessibility
495826144,way,surface,MISSING,Surface tag is recommended to assess accessibility
495826149,way,surface,MISSING,Surface tag is recommended to assess accessibility
495826150,way,surface,MISSING,Surface tag is recommended to assess accessibility
496353561,way,surface,MISSING,Surface tag is recommended to assess accessibility
496353565,way,surface,MISSING,Surface tag is recommended to assess accessibility
496353571,way,surface,MISSING,Surface tag is recommended to assess accessibility
496353580,way,surface,MISSING,Surface tag is recommended to assess accessibility
496353582,way,surface,MISSING,Surface tag is recommended to assess accessibility
496353585,way,surface,MISSING,Surface tag is recommended to assess accessibility
497019179,way,surface,MISSING,Surface tag is recommended to assess accessibility
497019182,way,surface,MISSING,Surface tag is recommended to assess accessibility
497754277,way,surface,MISSING,Surface tag is recommended to assess accessibility
497754286,way,surface,MISSING,Surface tag is recommended to assess accessibility
497813432,way,surface,MISSING,Surface tag is recommended to assess accessibility
501394383,way,surface,MISSING,Surface tag is recommended to assess accessibility
501394384,way,surface,MISSING,Surface tag is recommended to assess accessibility
501394385,way,surface,MISSING,Surface tag is recommended to assess accessibility
503156653,way,surface,MISSING,Surface tag is recommended to assess accessibility
503156654,way,surface,MISSING,Surface tag is recommended to assess accessibility
503156655,way,surface,MISSING,Surface tag is recommended to assess accessibility
503156658,way,surface,MISSING,Surface tag is recommended to assess accessibility
511795286,way,surface,MISSING,Surface tag is recommended to assess accessibility
532599524,way,surface,MISSING,Surface tag is recommended to assess accessibility
532599538,way,surface,MISSING,Surface tag is recommended to assess accessibility
532599539,way,surface,MISSING,Surface tag is recommended to assess accessibility
547856201,way,surface,MISSING,Surface tag is recommended to assess accessibility
552913082,way,surface,MISSING,Surface tag is recommended to assess accessibility
584579416,way,surface,MISSING,Surface tag is recommended to assess accessibility
585308472,way,surface,MISSING,Surface tag is recommended to assess accessibility
585308473,way,surface,MISSING,Surface tag is recommended to assess accessibility
585465795,way,surface,MISSING,Surface tag is recommended to assess accessibility
585465796,way,surface,MISSING,Surface tag is recommended to assess accessibility
585465797,way,surface,MISSING,Surface tag is recommended to assess accessibility
585465798,way,surface,MISSING,Surface tag is recommended to assess accessibility
585834307,way,surface,MISSING,Surface tag is recommended to assess accessibility
587422034,way,surface,MISSING,Surface tag is recommended to assess accessibility
587422037,way,surface,MISSING,Surface tag is recommended to assess accessibility
587422039,way,surface,MISSING,Surface tag is recommended to assess accessibility
587422042,way,surface,MISSING,Surface tag is recommended to assess accessibility
587422045,way,surface,MISSING,Surface tag is recommended to assess accessibility
