osm_id,feat_type,key,value,commentary
4272902,way,last_update,16-4-2021,Feature has not been updated in 5 years or more
5089195,way,last_update,6-4-2021,Feature has not been updated in 5 years or more
5235905,way,last_update,10-5-2020,Feature has not been updated in 5 years or more
6005230,way,last_update,30-6-2015,Feature has not been updated in 5 years or more
12528363,way,last_update,29-11-2018,Feature has not been updated in 5 years or more
23761162,way,last_update,10-7-2019,Feature has not been updated in 5 years or more
24469656,way,last_update,28-4-2021,Feature has not been updated in 5 years or more
24483384,way,last_update,24-2-2019,Feature has not been updated in 5 years or more
26566413,way,last_update,16-4-2021,Feature has not been updated in 5 years or more
28150263,way,last_update,30-3-2017,Feature has not been updated in 5 years or more
34022412,way,last_update,28-2-2021,Feature has not been updated in 5 years or more
34078742,way,last_update,28-2-2021,Feature has not been updated in 5 years or more
36972579,way,last_update,10-4-2021,Feature has not been updated in 5 years or more
48805054,way,last_update,1-5-2019,Feature has not been updated in 5 years or more
60349392,way,last_update,20-8-2021,Feature has not been updated in 5 years or more
60349482,way,last_update,29-10-2015,Feature has not been updated in 5 years or more
71537407,way,last_update,12-8-2021,Feature has not been updated in 5 years or more
71769303,way,last_update,29-10-2015,Feature has not been updated in 5 years or more
71769311,way,last_update,29-10-2015,Feature has not been updated in 5 years or more
72146925,way,last_update,10-1-2021,Feature has not been updated in 5 years or more
73076595,way,last_update,12-8-2021,Feature has not been updated in 5 years or more
74060512,way,last_update,29-9-2015,Feature has not been updated in 5 years or more
80180479,way,last_update,29-6-2015,Feature has not been updated in 5 years or more
80867483,way,last_update,9-3-2021,Feature has not been updated in 5 years or more
81164203,way,last_update,10-5-2020,Feature has not been updated in 5 years or more
82628533,way,last_update,4-7-2020,Feature has not been updated in 5 years or more
82628534,way,last_update,4-7-2020,Feature has not been updated in 5 years or more
82628536,way,last_update,4-7-2020,Feature has not been updated in 5 years or more
84360938,way,last_update,28-2-2021,Feature has not been updated in 5 years or more
84360955,way,last_update,10-3-2021,Feature has not been updated in 5 years or more
93672390,way,last_update,19-4-2021,Feature has not been updated in 5 years or more
95527890,way,last_update,8-4-2017,Feature has not been updated in 5 years or more
95527895,way,last_update,8-4-2017,Feature has not been updated in 5 years or more
