osm_id,feat_type,key,value,commentary
108257206,way,name,Trollstien,most sidewalks don't have an actual name
311606471,way,name,Storo,most sidewalks don't have an actual name
312668119,way,name,CC vest,most sidewalks don't have an actual name
312808877,way,name,Lysaker bru,most sidewalks don't have an actual name
376882433,way,name,Ragnhild Schibbyes vei,most sidewalks don't have an actual name
376882434,way,name,Ragnhild Schibbyes vei,most sidewalks don't have an actual name
376882437,way,name,Ragnhild Schibbyes vei,most sidewalks don't have an actual name
376882439,way,name,Ragnhild Schibbyes vei,most sidewalks don't have an actual name
546181486,way,name,Rostockgata,most sidewalks don't have an actual name
729482705,way,name,Rostockgata,most sidewalks don't have an actual name
1058191591,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058281947,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058284812,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058284814,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058284816,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058323614,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058323617,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058323623,way,name,Tullinpassasjen,most sidewalks don't have an actual name
1058388858,way,name,Tullinpassasjen,most sidewalks don't have an actual name
